"States","Regions","Latitude","Longitude","Dates","Power_Usage","Date_Converted"
"Maharashtra","WR","19.250232","73.160175","13/04/2019","436.20","2019-04-13"
"Goa","WR","15.491997","73.818001","13/04/2019","12.40","2019-04-13"
"DNH","WR","20.266578","73.016618","13/04/2019","18.60","2019-04-13"
"Andhra Pradesh","SR","14.750429","78.570026","13/04/2019","176.20","2019-04-13"
"Telangana","SR","18.112400","79.019300","13/04/2019","151.80","2019-04-13"
"Karnataka","SR","12.570381","76.919997","13/04/2019","191.50","2019-04-13"
"Kerala","SR","8.900373","76.569993","13/04/2019","71.40","2019-04-13"
"Tamil Nadu","SR","12.920386","79.150042","13/04/2019","329.90","2019-04-13"
"Pondy","SR","11.934994","79.830000","13/04/2019","8.40","2019-04-13"
"Bihar","ER","25.785414","87.479973","13/04/2019","109.30","2019-04-13"
"Jharkhand","ER","23.800393","86.419986","13/04/2019","25.30","2019-04-13"
"Odisha","ER","19.820430","85.900017","13/04/2019","91.10","2019-04-13"
"West Bengal","ER","22.580390","88.329947","13/04/2019","183.40","2019-04-13"
"Sikkim","ER","27.333330","88.616648","13/04/2019","1.20","2019-04-13"
"Arunachal Pradesh","NER","27.100399","93.616601","13/04/2019","2.40","2019-04-13"
"Assam","NER","26.749981","94.216667","13/04/2019","33.20","2019-04-13"
"Manipur","NER","24.799971","93.950017","13/04/2019","2.60","2019-04-13"
"Meghalaya","NER","25.570492","91.880014","13/04/2019","5.60","2019-04-13"
"Mizoram","NER","23.710399","92.720015","13/04/2019","1.90","2019-04-13"
"Nagaland","NER","25.666998","94.116570","13/04/2019","2.40","2019-04-13"
"Tripura","NER","23.835404","91.279999","13/04/2019","5.70","2019-04-13"
"Punjab","NR","31.519974","75.980003","14/04/2019","250.60","2019-04-14"
"Haryana","NR","28.450006","77.019991","14/04/2019","209.80","2019-04-14"
"Rajasthan","NR","26.449999","74.639981","14/04/2019","242.90","2019-04-14"
"Delhi","NR","28.669993","77.230004","14/04/2019","126.10","2019-04-14"
"UP","NR","27.599981","78.050006","14/04/2019","407.90","2019-04-14"
"Uttarakhand","NR","30.320409","78.050006","14/04/2019","44.40","2019-04-14"
"HP","NR","31.100025","77.166597","14/04/2019","29.10","2019-04-14"
"J&K","NR","33.450000","76.240000","14/04/2019","44.80","2019-04-14"
"Chandigarh","NR","30.719997","76.780006","14/04/2019","6.20","2019-04-14"
"Chhattisgarh","WR","22.090420","82.159987","14/04/2019","91.10","2019-04-14"
"Gujarat","WR","22.258700","71.192400","14/04/2019","334.70","2019-04-14"
"MP","WR","21.300391","76.130019","14/04/2019","195.10","2019-04-14"
"Maharashtra","WR","19.250232","73.160175","14/04/2019","451.00","2019-04-14"
"Goa","WR","15.491997","73.818001","14/04/2019","12.40","2019-04-14"
"DNH","WR","20.266578","73.016618","14/04/2019","18.70","2019-04-14"
"Andhra Pradesh","SR","14.750429","78.570026","14/04/2019","178.10","2019-04-14"
"Telangana","SR","18.112400","79.019300","14/04/2019","156.60","2019-04-14"
"Karnataka","SR","12.570381","76.919997","14/04/2019","199.20","2019-04-14"
"Kerala","SR","8.900373","76.569993","14/04/2019","73.20","2019-04-14"
"Tamil Nadu","SR","12.920386","79.150042","14/04/2019","347.70","2019-04-14"
"Pondy","SR","11.934994","79.830000","14/04/2019","8.80","2019-04-14"
"Bihar","ER","25.785414","87.479973","14/04/2019","113.80","2019-04-14"
"Jharkhand","ER","23.800393","86.419986","14/04/2019","25.60","2019-04-14"
"Odisha","ER","19.820430","85.900017","14/04/2019","92.90","2019-04-14"
"West Bengal","ER","22.580390","88.329947","14/04/2019","195.20","2019-04-14"
"Sikkim","ER","27.333330","88.616648","14/04/2019","1.10","2019-04-14"
"Arunachal Pradesh","NER","27.100399","93.616601","14/04/2019","2.30","2019-04-14"
"Assam","NER","26.749981","94.216667","14/04/2019","32.70","2019-04-14"
"Manipur","NER","24.799971","93.950017","14/04/2019","2.50","2019-04-14"
"Meghalaya","NER","25.570492","91.880014","14/04/2019","5.70","2019-04-14"
"Mizoram","NER","23.710399","92.720015","14/04/2019","1.50","2019-04-14"
"Nagaland","NER","25.666998","94.116570","14/04/2019","2.50","2019-04-14"
"Tripura","NER","23.835404","91.279999","14/04/2019","5.40","2019-04-14"
"Punjab","NR","31.519974","75.980003","15/04/2019","274.10","2019-04-15"
"Haryana","NR","28.450006","77.019991","15/04/2019","219.40","2019-04-15"
"Rajasthan","NR","26.449999","74.639981","15/04/2019","248.50","2019-04-15"
"Delhi","NR","28.669993","77.230004","15/04/2019","135.10","2019-04-15"
"UP","NR","27.599981","78.050006","15/04/2019","416.90","2019-04-15"
"Uttarakhand","NR","30.320409","78.050006","15/04/2019","46.50","2019-04-15"
"HP","NR","31.100025","77.166597","15/04/2019","30.80","2019-04-15"
"J&K","NR","33.450000","76.240000","15/04/2019","45.80","2019-04-15"
"Chandigarh","NR","30.719997","76.780006","15/04/2019","6.50","2019-04-15"
"Chhattisgarh","WR","22.090420","82.159987","15/04/2019","90.50","2019-04-15"
"Gujarat","WR","22.258700","71.192400","15/04/2019","330.80","2019-04-15"
"MP","WR","21.300391","76.130019","15/04/2019","192.80","2019-04-15"
"Maharashtra","WR","19.250232","73.160175","15/04/2019","458.80","2019-04-15"
"Goa","WR","15.491997","73.818001","15/04/2019","12.40","2019-04-15"
"DNH","WR","20.266578","73.016618","15/04/2019","18.90","2019-04-15"
"Andhra Pradesh","SR","14.750429","78.570026","15/04/2019","179.00","2019-04-15"
"Telangana","SR","18.112400","79.019300","15/04/2019","162.20","2019-04-15"
"Karnataka","SR","12.570381","76.919997","15/04/2019","198.10","2019-04-15"
"Kerala","SR","8.900373","76.569993","15/04/2019","74.20","2019-04-15"
"Tamil Nadu","SR","12.920386","79.150042","15/04/2019","330.30","2019-04-15"
"Pondy","SR","11.934994","79.830000","15/04/2019","8.60","2019-04-15"
"Bihar","ER","25.785414","87.479973","15/04/2019","99.10","2019-04-15"
"Jharkhand","ER","23.800393","86.419986","15/04/2019","24.30","2019-04-15"
"Odisha","ER","19.820430","85.900017","15/04/2019","97.70","2019-04-15"
"West Bengal","ER","22.580390","88.329947","15/04/2019","181.60","2019-04-15"
"Sikkim","ER","27.333330","88.616648","15/04/2019","1.20","2019-04-15"
"Arunachal Pradesh","NER","27.100399","93.616601","15/04/2019","2.30","2019-04-15"
"Assam","NER","26.749981","94.216667","15/04/2019","27.70","2019-04-15"
"Manipur","NER","24.799971","93.950017","15/04/2019","2.40","2019-04-15"
"Meghalaya","NER","25.570492","91.880014","15/04/2019","5.30","2019-04-15"
"Mizoram","NER","23.710399","92.720015","15/04/2019","1.80","2019-04-15"
"Nagaland","NER","25.666998","94.116570","15/04/2019","2.50","2019-04-15"
"Tripura","NER","23.835404","91.279999","15/04/2019","5.10","2019-04-15"
"Punjab","NR","31.519974","75.980003","16/04/2019","269.40","2019-04-16"
"Haryana","NR","28.450006","77.019991","16/04/2019","219.10","2019-04-16"
"Rajasthan","NR","26.449999","74.639981","16/04/2019","249.50","2019-04-16"
"Delhi","NR","28.669993","77.230004","16/04/2019","135.20","2019-04-16"
"UP","NR","27.599981","78.050006","16/04/2019","435.10","2019-04-16"
"Uttarakhand","NR","30.320409","78.050006","16/04/2019","46.70","2019-04-16"
"HP","NR","31.100025","77.166597","16/04/2019","31.30","2019-04-16"
"J&K","NR","33.450000","76.240000","16/04/2019","46.00","2019-04-16"
"Chandigarh","NR","30.719997","76.780006","16/04/2019","6.40","2019-04-16"
"Chhattisgarh","WR","22.090420","82.159987","16/04/2019","89.60","2019-04-16"
"Gujarat","WR","22.258700","71.192400","16/04/2019","340.20","2019-04-16"
"MP","WR","21.300391","76.130019","16/04/2019","191.70","2019-04-16"
"Maharashtra","WR","19.250232","73.160175","16/04/2019","448.70","2019-04-16"
"Goa","WR","15.491997","73.818001","16/04/2019","12.40","2019-04-16"
"DNH","WR","20.266578","73.016618","16/04/2019","19.10","2019-04-16"
"Andhra Pradesh","SR","14.750429","78.570026","16/04/2019","178.20","2019-04-16"
"Telangana","SR","18.112400","79.019300","16/04/2019","165.60","2019-04-16"
"Karnataka","SR","12.570381","76.919997","16/04/2019","198.20","2019-04-16"
"Kerala","SR","8.900373","76.569993","16/04/2019","75.90","2019-04-16"
"Tamil Nadu","SR","12.920386","79.150042","16/04/2019","334.00","2019-04-16"
"Pondy","SR","11.934994","79.830000","16/04/2019","8.50","2019-04-16"
"Bihar","ER","25.785414","87.479973","16/04/2019","95.60","2019-04-16"
"Jharkhand","ER","23.800393","86.419986","16/04/2019","21.60","2019-04-16"
"Odisha","ER","19.820430","85.900017","16/04/2019","96.40","2019-04-16"
"West Bengal","ER","22.580390","88.329947","16/04/2019","182.40","2019-04-16"
"Sikkim","ER","27.333330","88.616648","16/04/2019","1.30","2019-04-16"
"Arunachal Pradesh","NER","27.100399","93.616601","16/04/2019","2.20","2019-04-16"
"Assam","NER","26.749981","94.216667","16/04/2019","28.40","2019-04-16"
"Manipur","NER","24.799971","93.950017","16/04/2019","2.60","2019-04-16"
"Meghalaya","NER","25.570492","91.880014","16/04/2019","5.80","2019-04-16"
"Mizoram","NER","23.710399","92.720015","16/04/2019","2.00","2019-04-16"
"Nagaland","NER","25.666998","94.116570","16/04/2019","2.30","2019-04-16"
"Tripura","NER","23.835404","91.279999","16/04/2019","6.60","2019-04-16"
"Punjab","NR","31.519974","75.980003","17/04/2019","282.70","2019-04-17"
"Haryana","NR","28.450006","77.019991","17/04/2019","219.70","2019-04-17"
"Rajasthan","NR","26.449999","74.639981","17/04/2019","254.70","2019-04-17"
"Delhi","NR","28.669993","77.230004","17/04/2019","133.50","2019-04-17"
"UP","NR","27.599981","78.050006","17/04/2019","446.80","2019-04-17"
"Uttarakhand","NR","30.320409","78.050006","17/04/2019","47.20","2019-04-17"
"HP","NR","31.100025","77.166597","17/04/2019","31.70","2019-04-17"
"J&K","NR","33.450000","76.240000","17/04/2019","48.80","2019-04-17"
"Chandigarh","NR","30.719997","76.780006","17/04/2019","6.70","2019-04-17"
"Chhattisgarh","WR","22.090420","82.159987","17/04/2019","87.30","2019-04-17"
"Gujarat","WR","22.258700","71.192400","17/04/2019","331.80","2019-04-17"
"MP","WR","21.300391","76.130019","17/04/2019","188.40","2019-04-17"
"Maharashtra","WR","19.250232","73.160175","17/04/2019","407.60","2019-04-17"
"Goa","WR","15.491997","73.818001","17/04/2019","12.40","2019-04-17"
"DNH","WR","20.266578","73.016618","17/04/2019","18.50","2019-04-17"
"Andhra Pradesh","SR","14.750429","78.570026","17/04/2019","185.00","2019-04-17"
"Telangana","SR","18.112400","79.019300","17/04/2019","163.50","2019-04-17"
"Karnataka","SR","12.570381","76.919997","17/04/2019","195.20","2019-04-17"
"Kerala","SR","8.900373","76.569993","17/04/2019","76.10","2019-04-17"
"Tamil Nadu","SR","12.920386","79.150042","17/04/2019","337.30","2019-04-17"
"Pondy","SR","11.934994","79.830000","17/04/2019","8.60","2019-04-17"
"Bihar","ER","25.785414","87.479973","17/04/2019","103.10","2019-04-17"
"Jharkhand","ER","23.800393","86.419986","17/04/2019","25.20","2019-04-17"
"Odisha","ER","19.820430","85.900017","17/04/2019","88.40","2019-04-17"
"West Bengal","ER","22.580390","88.329947","17/04/2019","175.90","2019-04-17"
"Sikkim","ER","27.333330","88.616648","17/04/2019","1.30","2019-04-17"
"Arunachal Pradesh","NER","27.100399","93.616601","17/04/2019","2.20","2019-04-17"
"Assam","NER","26.749981","94.216667","17/04/2019","29.60","2019-04-17"
"Manipur","NER","24.799971","93.950017","17/04/2019","2.60","2019-04-17"
"Meghalaya","NER","25.570492","91.880014","17/04/2019","5.40","2019-04-17"
"Mizoram","NER","23.710399","92.720015","17/04/2019","1.70","2019-04-17"
"Nagaland","NER","25.666998","94.116570","17/04/2019","2.20","2019-04-17"
"Tripura","NER","23.835404","91.279999","17/04/2019","5.50","2019-04-17"
"Punjab","NR","31.519974","75.980003","18/04/2019","281.50","2019-04-18"
"Haryana","NR","28.450006","77.019991","18/04/2019","224.50","2019-04-18"
"Rajasthan","NR","26.449999","74.639981","18/04/2019","255.70","2019-04-18"
"Delhi","NR","28.669993","77.230004","18/04/2019","136.70","2019-04-18"
"UP","NR","27.599981","78.050006","18/04/2019","452.60","2019-04-18"
"Uttarakhand","NR","30.320409","78.050006","18/04/2019","48.60","2019-04-18"
"HP","NR","31.100025","77.166597","18/04/2019","31.50","2019-04-18"
"J&K","NR","33.450000","76.240000","18/04/2019","44.60","2019-04-18"
"Chandigarh","NR","30.719997","76.780006","18/04/2019","6.80","2019-04-18"
"Chhattisgarh","WR","22.090420","82.159987","18/04/2019","89.70","2019-04-18"
"Gujarat","WR","22.258700","71.192400","18/04/2019","328.20","2019-04-18"
"MP","WR","21.300391","76.130019","18/04/2019","187.40","2019-04-18"
"Maharashtra","WR","19.250232","73.160175","18/04/2019","388.50","2019-04-18"
"Goa","WR","15.491997","73.818001","18/04/2019","10.90","2019-04-18"
"DNH","WR","20.266578","73.016618","18/04/2019","17.10","2019-04-18"
"Andhra Pradesh","SR","14.750429","78.570026","18/04/2019","184.60","2019-04-18"
"Telangana","SR","18.112400","79.019300","18/04/2019","147.00","2019-04-18"
"Karnataka","SR","12.570381","76.919997","18/04/2019","191.80","2019-04-18"
"Kerala","SR","8.900373","76.569993","18/04/2019","77.20","2019-04-18"
"Tamil Nadu","SR","12.920386","79.150042","18/04/2019","339.70","2019-04-18"
"Pondy","SR","11.934994","79.830000","18/04/2019","8.60","2019-04-18"
"Bihar","ER","25.785414","87.479973","18/04/2019","101.10","2019-04-18"
"Jharkhand","ER","23.800393","86.419986","18/04/2019","25.30","2019-04-18"
"Odisha","ER","19.820430","85.900017","18/04/2019","90.40","2019-04-18"
"West Bengal","ER","22.580390","88.329947","18/04/2019","176.30","2019-04-18"
"Sikkim","ER","27.333330","88.616648","18/04/2019","1.20","2019-04-18"
"Arunachal Pradesh","NER","27.100399","93.616601","18/04/2019","2.30","2019-04-18"
"Assam","NER","26.749981","94.216667","18/04/2019","31.10","2019-04-18"
"Manipur","NER","24.799971","93.950017","18/04/2019","2.80","2019-04-18"
"Meghalaya","NER","25.570492","91.880014","18/04/2019","5.80","2019-04-18"
"Mizoram","NER","23.710399","92.720015","18/04/2019","1.70","2019-04-18"
"Nagaland","NER","25.666998","94.116570","18/04/2019","2.20","2019-04-18"
"Tripura","NER","23.835404","91.279999","18/04/2019","5.40","2019-04-18"
"Punjab","NR","31.519974","75.980003","19/04/2019","286.00","2019-04-19"
"Haryana","NR","28.450006","77.019991","19/04/2019","211.80","2019-04-19"
"Rajasthan","NR","26.449999","74.639981","19/04/2019","246.40","2019-04-19"
"Delhi","NR","28.669993","77.230004","19/04/2019","136.00","2019-04-19"
"UP","NR","27.599981","78.050006","19/04/2019","445.10","2019-04-19"
"Uttarakhand","NR","30.320409","78.050006","19/04/2019","44.90","2019-04-19"
"HP","NR","31.100025","77.166597","19/04/2019","28.50","2019-04-19"
"J&K","NR","33.450000","76.240000","19/04/2019","42.30","2019-04-19"
"Chandigarh","NR","30.719997","76.780006","19/04/2019","6.10","2019-04-19"
"Chhattisgarh","WR","22.090420","82.159987","19/04/2019","86.30","2019-04-19"
"Gujarat","WR","22.258700","71.192400","19/04/2019","319.50","2019-04-19"
"MP","WR","21.300391","76.130019","19/04/2019","171.40","2019-04-19"
"Maharashtra","WR","19.250232","73.160175","19/04/2019","371.10","2019-04-19"
"Goa","WR","15.491997","73.818001","19/04/2019","10.00","2019-04-19"
"DNH","WR","20.266578","73.016618","19/04/2019","17.40","2019-04-19"
"Andhra Pradesh","SR","14.750429","78.570026","19/04/2019","174.30","2019-04-19"
"Telangana","SR","18.112400","79.019300","19/04/2019","136.30","2019-04-19"
"Karnataka","SR","12.570381","76.919997","19/04/2019","170.30","2019-04-19"
"Kerala","SR","8.900373","76.569993","19/04/2019","70.30","2019-04-19"
"Tamil Nadu","SR","12.920386","79.150042","19/04/2019","319.50","2019-04-19"
"Pondy","SR","11.934994","79.830000","19/04/2019","8.10","2019-04-19"
"Bihar","ER","25.785414","87.479973","19/04/2019","100.30","2019-04-19"
"Jharkhand","ER","23.800393","86.419986","19/04/2019","25.70","2019-04-19"
"Odisha","ER","19.820430","85.900017","19/04/2019","88.40","2019-04-19"
"West Bengal","ER","22.580390","88.329947","19/04/2019","162.50","2019-04-19"
"Sikkim","ER","27.333330","88.616648","19/04/2019","1.00","2019-04-19"
"Arunachal Pradesh","NER","27.100399","93.616601","19/04/2019","2.20","2019-04-19"
"Assam","NER","26.749981","94.216667","19/04/2019","32.70","2019-04-19"
"Manipur","NER","24.799971","93.950017","19/04/2019","2.70","2019-04-19"
"Meghalaya","NER","25.570492","91.880014","19/04/2019","6.00","2019-04-19"
"Mizoram","NER","23.710399","92.720015","19/04/2019","1.70","2019-04-19"
"Nagaland","NER","25.666998","94.116570","19/04/2019","2.20","2019-04-19"
"Tripura","NER","23.835404","91.279999","19/04/2019","5.50","2019-04-19"
"Punjab","NR","31.519974","75.980003","20/04/2019","121.80","2019-04-20"
"Haryana","NR","28.450006","77.019991","20/04/2019","120.50","2019-04-20"
"Rajasthan","NR","26.449999","74.639981","20/04/2019","242.60","2019-04-20"
"Delhi","NR","28.669993","77.230004","20/04/2019","63.90","2019-04-20"
"UP","NR","27.599981","78.050006","20/04/2019","259.90","2019-04-20"
"Uttarakhand","NR","30.320409","78.050006","20/04/2019","34.90","2019-04-20"
"HP","NR","31.100025","77.166597","20/04/2019","27.50","2019-04-20"
"J&K","NR","33.450000","76.240000","20/04/2019","48.40","2019-04-20"
"Chandigarh","NR","30.719997","76.780006","20/04/2019","3.40","2019-04-20"
"Chhattisgarh","WR","22.090420","82.159987","20/04/2019","75.80","2019-04-20"
"Gujarat","WR","22.258700","71.192400","20/04/2019","356.30","2019-04-20"
"MP","WR","21.300391","76.130019","20/04/2019","252.20","2019-04-20"
"Maharashtra","WR","19.250232","73.160175","20/04/2019","495.90","2019-04-20"
"Goa","WR","15.491997","73.818001","20/04/2019","10.50","2019-04-20"
"DNH","WR","20.266578","73.016618","20/04/2019","18.70","2019-04-20"
"Andhra Pradesh","SR","14.750429","78.570026","20/04/2019","195.00","2019-04-20"
"Telangana","SR","18.112400","79.019300","20/04/2019","255.10","2019-04-20"
"Karnataka","SR","12.570381","76.919997","20/04/2019","242.70","2019-04-20"
"Kerala","SR","8.900373","76.569993","20/04/2019","77.60","2019-04-20"
"Tamil Nadu","SR","12.920386","79.150042","20/04/2019","311.60","2019-04-20"
"Pondy","SR","11.934994","79.830000","20/04/2019","7.50","2019-04-20"
"Bihar","ER","25.785414","87.479973","20/04/2019","64.50","2019-04-20"
"Jharkhand","ER","23.800393","86.419986","20/04/2019","22.20","2019-04-20"
"Odisha","ER","19.820430","85.900017","20/04/2019","70.30","2019-04-20"
"West Bengal","ER","22.580390","88.329947","20/04/2019","116.30","2019-04-20"
"Sikkim","ER","27.333330","88.616648","20/04/2019","1.40","2019-04-20"
"Arunachal Pradesh","NER","27.100399","93.616601","20/04/2019","2.30","2019-04-20"
"Assam","NER","26.749981","94.216667","20/04/2019","20.70","2019-04-20"
"Manipur","NER","24.799971","93.950017","20/04/2019","2.60","2019-04-20"
"Meghalaya","NER","25.570492","91.880014","20/04/2019","5.50","2019-04-20"
"Mizoram","NER","23.710399","92.720015","20/04/2019","1.90","2019-04-20"
"Nagaland","NER","25.666998","94.116570","20/04/2019","2.10","2019-04-20"
"Tripura","NER","23.835404","91.279999","20/04/2019","3.60","2019-04-20"
"Punjab","NR","31.519974","75.980003","21/04/2019","124.80","2019-04-21"
"Haryana","NR","28.450006","77.019991","21/04/2019","124.70","2019-04-21"
"Rajasthan","NR","26.449999","74.639981","21/04/2019","244.80","2019-04-21"
"Delhi","NR","28.669993","77.230004","21/04/2019","63.60","2019-04-21"
"UP","NR","27.599981","78.050006","21/04/2019","250.00","2019-04-21"
"Uttarakhand","NR","30.320409","78.050006","21/04/2019","35.30","2019-04-21"
"HP","NR","31.100025","77.166597","21/04/2019","28.90","2019-04-21"
"J&K","NR","33.450000","76.240000","21/04/2019","46.60","2019-04-21"
"Chandigarh","NR","30.719997","76.780006","21/04/2019","3.40","2019-04-21"
"Chhattisgarh","WR","22.090420","82.159987","21/04/2019","72.20","2019-04-21"
"Gujarat","WR","22.258700","71.192400","21/04/2019","354.70","2019-04-21"
"MP","WR","21.300391","76.130019","21/04/2019","249.80","2019-04-21"
"Maharashtra","WR","19.250232","73.160175","21/04/2019","494.20","2019-04-21"
"Goa","WR","15.491997","73.818001","21/04/2019","10.90","2019-04-21"
"DNH","WR","20.266578","73.016618","21/04/2019","18.70","2019-04-21"
"Andhra Pradesh","SR","14.750429","78.570026","21/04/2019","197.60","2019-04-21"
"Telangana","SR","18.112400","79.019300","21/04/2019","255.20","2019-04-21"
"Karnataka","SR","12.570381","76.919997","21/04/2019","250.10","2019-04-21"
"Kerala","SR","8.900373","76.569993","21/04/2019","79.30","2019-04-21"
"Tamil Nadu","SR","12.920386","79.150042","21/04/2019","323.80","2019-04-21"
"Pondy","SR","11.934994","79.830000","21/04/2019","7.90","2019-04-21"
"Bihar","ER","25.785414","87.479973","21/04/2019","61.20","2019-04-21"
"Jharkhand","ER","23.800393","86.419986","21/04/2019","21.00","2019-04-21"
"Odisha","ER","19.820430","85.900017","21/04/2019","71.70","2019-04-21"
"West Bengal","ER","22.580390","88.329947","21/04/2019","113.50","2019-04-21"
"Sikkim","ER","27.333330","88.616648","21/04/2019","1.60","2019-04-21"
"Arunachal Pradesh","NER","27.100399","93.616601","21/04/2019","2.00","2019-04-21"
"Assam","NER","26.749981","94.216667","21/04/2019","22.70","2019-04-21"
"Manipur","NER","24.799971","93.950017","21/04/2019","2.50","2019-04-21"
"Meghalaya","NER","25.570492","91.880014","21/04/2019","6.00","2019-04-21"
"Mizoram","NER","23.710399","92.720015","21/04/2019","1.90","2019-04-21"
"Nagaland","NER","25.666998","94.116570","21/04/2019","2.20","2019-04-21"
"Tripura","NER","23.835404","91.279999","21/04/2019","3.50","2019-04-21"
"Punjab","NR","31.519974","75.980003","22/04/2019","124.90","2019-04-22"
"Haryana","NR","28.450006","77.019991","22/04/2019","124.80","2019-04-22"
"Rajasthan","NR","26.449999","74.639981","22/04/2019","245.10","2019-04-22"
"Delhi","NR","28.669993","77.230004","22/04/2019","63.80","2019-04-22"
"UP","NR","27.599981","78.050006","22/04/2019","257.70","2019-04-22"
"Uttarakhand","NR","30.320409","78.050006","22/04/2019","35.60","2019-04-22"
"HP","NR","31.100025","77.166597","22/04/2019","29.20","2019-04-22"
"J&K","NR","33.450000","76.240000","22/04/2019","48.30","2019-04-22"
"Chandigarh","NR","30.719997","76.780006","22/04/2019","3.50","2019-04-22"
"Chhattisgarh","WR","22.090420","82.159987","22/04/2019","77.20","2019-04-22"
"Gujarat","WR","22.258700","71.192400","22/04/2019","347.20","2019-04-22"
"MP","WR","21.300391","76.130019","22/04/2019","250.40","2019-04-22"
"Maharashtra","WR","19.250232","73.160175","22/04/2019","491.40","2019-04-22"
"Goa","WR","15.491997","73.818001","22/04/2019","10.80","2019-04-22"
"DNH","WR","20.266578","73.016618","22/04/2019","18.90","2019-04-22"
"Andhra Pradesh","SR","14.750429","78.570026","22/04/2019","201.20","2019-04-22"
"Telangana","SR","18.112400","79.019300","22/04/2019","253.30","2019-04-22"
"Karnataka","SR","12.570381","76.919997","22/04/2019","249.60","2019-04-22"
"Kerala","SR","8.900373","76.569993","22/04/2019","79.70","2019-04-22"
"Tamil Nadu","SR","12.920386","79.150042","22/04/2019","325.60","2019-04-22"
"Pondy","SR","11.934994","79.830000","22/04/2019","8.00","2019-04-22"
"Bihar","ER","25.785414","87.479973","22/04/2019","63.80","2019-04-22"
"Jharkhand","ER","23.800393","86.419986","22/04/2019","22.10","2019-04-22"
"Odisha","ER","19.820430","85.900017","22/04/2019","70.00","2019-04-22"
"West Bengal","ER","22.580390","88.329947","22/04/2019","115.40","2019-04-22"
"Sikkim","ER","27.333330","88.616648","22/04/2019","1.70","2019-04-22"
"Arunachal Pradesh","NER","27.100399","93.616601","22/04/2019","2.20","2019-04-22"
"Assam","NER","26.749981","94.216667","22/04/2019","19.20","2019-04-22"
"Manipur","NER","24.799971","93.950017","22/04/2019","2.50","2019-04-22"
"Meghalaya","NER","25.570492","91.880014","22/04/2019","5.90","2019-04-22"
"Mizoram","NER","23.710399","92.720015","22/04/2019","1.70","2019-04-22"
"Nagaland","NER","25.666998","94.116570","22/04/2019","2.30","2019-04-22"
"Tripura","NER","23.835404","91.279999","22/04/2019","3.30","2019-04-22"
"Punjab","NR","31.519974","75.980003","23/04/2019","121.80","2019-04-23"
"Haryana","NR","28.450006","77.019991","23/04/2019","123.00","2019-04-23"
"Rajasthan","NR","26.449999","74.639981","23/04/2019","245.70","2019-04-23"
"Delhi","NR","28.669993","77.230004","23/04/2019","62.50","2019-04-23"
"UP","NR","27.599981","78.050006","23/04/2019","250.60","2019-04-23"
"Uttarakhand","NR","30.320409","78.050006","23/04/2019","36.00","2019-04-23"
"HP","NR","31.100025","77.166597","23/04/2019","29.10","2019-04-23"
"J&K","NR","33.450000","76.240000","23/04/2019","48.80","2019-04-23"
"Chandigarh","NR","30.719997","76.780006","23/04/2019","3.50","2019-04-23"
"Chhattisgarh","WR","22.090420","82.159987","23/04/2019","79.20","2019-04-23"
"Gujarat","WR","22.258700","71.192400","23/04/2019","344.50","2019-04-23"
"MP","WR","21.300391","76.130019","23/04/2019","250.60","2019-04-23"
"Maharashtra","WR","19.250232","73.160175","23/04/2019","493.40","2019-04-23"
"Goa","WR","15.491997","73.818001","23/04/2019","10.90","2019-04-23"
"DNH","WR","20.266578","73.016618","23/04/2019","19.10","2019-04-23"
"Andhra Pradesh","SR","14.750429","78.570026","23/04/2019","199.00","2019-04-23"
"Telangana","SR","18.112400","79.019300","23/04/2019","249.70","2019-04-23"
"Karnataka","SR","12.570381","76.919997","23/04/2019","252.00","2019-04-23"
"Kerala","SR","8.900373","76.569993","23/04/2019","80.60","2019-04-23"
"Tamil Nadu","SR","12.920386","79.150042","23/04/2019","328.30","2019-04-23"
"Pondy","SR","11.934994","79.830000","23/04/2019","7.90","2019-04-23"
"Bihar","ER","25.785414","87.479973","23/04/2019","69.00","2019-04-23"
"Jharkhand","ER","23.800393","86.419986","23/04/2019","22.30","2019-04-23"
"Odisha","ER","19.820430","85.900017","23/04/2019","67.50","2019-04-23"
"West Bengal","ER","22.580390","88.329947","23/04/2019","119.70","2019-04-23"
"Sikkim","ER","27.333330","88.616648","23/04/2019","1.50","2019-04-23"
"Arunachal Pradesh","NER","27.100399","93.616601","23/04/2019","2.10","2019-04-23"
"Assam","NER","26.749981","94.216667","23/04/2019","21.00","2019-04-23"
"Manipur","NER","24.799971","93.950017","23/04/2019","2.60","2019-04-23"
"Meghalaya","NER","25.570492","91.880014","23/04/2019","5.70","2019-04-23"
"Mizoram","NER","23.710399","92.720015","23/04/2019","1.60","2019-04-23"
"Nagaland","NER","25.666998","94.116570","23/04/2019","2.20","2019-04-23"
"Tripura","NER","23.835404","91.279999","23/04/2019","3.40","2019-04-23"
"Punjab","NR","31.519974","75.980003","24/04/2019","113.00","2019-04-24"
"Haryana","NR","28.450006","77.019991","24/04/2019","123.00","2019-04-24"
"Rajasthan","NR","26.449999","74.639981","24/04/2019","246.20","2019-04-24"
"Delhi","NR","28.669993","77.230004","24/04/2019","63.80","2019-04-24"
"UP","NR","27.599981","78.050006","24/04/2019","274.90","2019-04-24"
"Uttarakhand","NR","30.320409","78.050006","24/04/2019","36.00","2019-04-24"
"HP","NR","31.100025","77.166597","24/04/2019","28.80","2019-04-24"
"J&K","NR","33.450000","76.240000","24/04/2019","49.00","2019-04-24"
